Best case
n,bubble,swaps,selection,swaps,insertion,swaps
1,0.000,0,0.001,0,0.002,0
51,0.014,0,0.008,0,0.004,0
101,0.122,0,0.032,0,0.013,0
151,0.291,0,0.138,0,0.085,0
201,0.328,0,0.113,0,0.117,0
251,0.308,0,0.136,0,0.082,0
301,0.403,0,0.164,0,0.096,0
351,0.593,0,0.234,0,0.121,0
401,0.608,0,0.254,0,0.166,0
451,0.766,0,0.287,0,0.164,0
501,0.967,0,0.406,0,0.202,0
551,1.204,0,0.405,0,0.231,0
601,1.184,0,0.505,0,0.275,0
651,1.531,0,0.538,0,0.316,0
701,1.676,0,0.640,0,0.360,0
751,1.992,0,0.746,0,0.422,0
801,2.367,0,0.905,0,0.503,0
851,2.803,0,0.982,0,0.587,0
901,3.101,0,1.066,0,0.624,0
951,3.364,0,1.161,0,0.874,0
Worst case
n,bubble,swaps,selection,swaps,insertion,swaps
1,0.001,0,0.000,0,0.000,0
51,0.010,1265,0.005,26,0.005,1265
101,0.036,4986,0.019,57,0.017,4986
151,0.082,11198,0.040,98,0.036,11198
201,0.144,19901,0.065,132,0.063,19901
251,0.222,31075,0.098,158,0.097,31075
301,0.325,44726,0.140,205,0.139,44726
351,0.435,60852,0.199,233,0.188,60852
401,0.640,79450,0.259,274,0.243,79450
451,0.722,100507,0.332,311,0.323,100507
501,0.896,124062,0.427,347,0.381,124062
551,1.098,150082,0.495,385,0.456,150082
601,1.319,178587,0.589,422,0.545,178587
651,1.628,209569,0.732,468,0.639,209569
701,1.791,243008,0.878,497,0.769,243008
751,2.147,278922,0.890,521,0.868,278922
801,2.859,317297,1.053,534,1.105,317297
851,2.921,358171,1.643,618,4.340,358171
901,3.008,401514,1.310,636,1.295,401514
951,3.304,447319,1.379,703,1.434,447319
